27,00					133,00					184,00
27,00					135,00					183,00
27,00					134,00					183,00
26,00					134,00					185,00
27,00					135,00					182,00
27,00					134,00					184,00
27,00					134,00					183,00
26,00					134,00					182,00
27,00					133,00					184,00
27,00					134,00					187,00
26,00					133,00					184,00
26,00					135,00					185,00
27,00					135,00					185,00
26,00					135,00					184,00
27,00					136,00					186,00
27,00					133,00					184,00
27,00					134,00					184,00
27,00					134,00					184,00
27,00					134,00					184,00
27,00					135,00					185,00
27,00					132,00					182,00
27,00					134,00					183,00
27,00					134,00					184,00
26,00					134,00					183,00
26,00					135,00					183,00
26,00					135,00					189,00
26,00					135,00					184,00
27,00					135,00					185,00
27,00					135,00					184,00
27,00					136,00					184,00
27,00					134,00					186,00
26,00					135,00					182,00
27,00					135,00					184,00
27,00					136,00					184,00
27,00					135,00					184,00
27,00					142,00					184,00
27,00					134,00					182,00
27,00					134,00					183,00
26,00					134,00					183,00
26,00					134,00					182,00
26,00					139,00					183,00
27,00					134,00					185,00
27,00					135,00					183,00
27,00					135,00					185,00
26,00					135,00					185,00
26,00					139,00					184,00
27,00					133,00					184,00
27,00					134,00					183,00
26,00					135,00					183,00
26,00					135,00					184,00
27,00					136,00					183,00
27,00					133,00					183,00
26,00					134,00					189,00
27,00					134,00					183,00
27,00					134,00					183,00
26,00					135,00					182,00
27,00					133,00					182,00
27,00					135,00					184,00
26,00					136,00					183,00
27,00					136,00					183,00
27,00					135,00					183,00
27,00					134,00					183,00
27,00					135,00					184,00
27,00					136,00					182,00
26,00					135,00					182,00
27,00					134,00					182,00
26,00					133,00					183,00
27,00					135,00					183,00
27,00					134,00					187,00
27,00					134,00					181,00
26,00					135,00					182,00
27,00					134,00					182,00
27,00					135,00					182,00
27,00					135,00					183,00
27,00					136,00					183,00
27,00					136,00					183,00
27,00					133,00					184,00
27,00					133,00					183,00
27,00					135,00					184,00
26,00					136,00					183,00
27,00					136,00					183,00
27,00					134,00					182,00
26,00					134,00					182,00
27,00					134,00					183,00
27,00					134,00					184,00
